Time,Nome,Quantidade de Jogadores,Media de Idade,Jogadores Estrangeiros,Valor de Mercado,Media do Valor de Mercado,Campeonato,Edição Anterior,Quantidade de Títulos,Anos dos Títulos
América Mineiro,América Futebol Clube (MG),41,27.3,0,20.83,0.508,Brasileirão 2018,Série B (1),0,
Atlético Mineiro,Clube Atlético Mineiro,39,25.3,5,40.3,1.03,Brasileirão 2018,9,1,1971
Atlético Paranaense,Clube Atlético Paranaense,38,26.3,2,32.3,0.85,Brasileirão 2018,11,1,2001
Bahia,Esporte Clube Bahia,38,25.4,1,28.8,0.758,Brasileirão 2018,12,2,"1959,1988"
Botafogo,Botafogo de Futebol e Regatas,37,25.8,4,32.2,0.87,Brasileirão 2018,10,2,"1968,1995"
Ceará,Ceará Sporting Club,36,28,2,17.38,0.483,Brasileirão 2018,Série B (3),0,
Chapecoense,Associação Chapecoense de Futebol,45,26.7,5,23.88,0.531,Brasileirão 2018,8,0,
Corinthians,Sport Club Corinthians Paulista,39,26.5,4,54.85,1.41,Brasileirão 2018,1,7,"1990,1998,1999,2005,2011,2015,2017"
Cruzeiro,Cruzeiro Esporte Clube,36,27.6,5,58.25,1.62,Brasileirão 2018,5,4,"1966,2003,2013,2014"
Flamengo,Clube de Regatas do Flamengo,37,25.6,6,76.8,2.08,Brasileirão 2018,6,5,"1980,1982,1983,1992,2009"
Fluminense,Fluminense Football Club,47,24.9,3,32.68,0.695,Brasileirão 2018,14,4,"1970,1984,2010,2012"
Grêmio,Grêmio Foot-Ball Porto Alegrense,45,26.1,1,68.4,1.52,Brasileirão 2018,4,2,"1981,1996"
Internacional,Sport Club Internacional,41,25.8,7,50,1.22,Brasileirão 2018,Série B (2),3,"1975,1976,1979"
Palmeiras,Sociedade Esportiva Palmeiras,41,27,4,83.08,2.03,Brasileirão 2018,2,10,"1960,1967,1967,1969,1972,1973,1993,1994,2016,2018"
Paraná,Paraná Clube,42,24.7,1,14.63,0.348,Brasileirão 2018,Série B (4),0,
Santos,Santos FC,37,25.3,4,63.1,1.71,Brasileirão 2018,3,8,"1961,1962,1963,1964,1965,1968,2002,2004"
São Paulo,São Paulo Futebol Clube,32,25.6,4,51.95,1.62,Brasileirão 2018,13,6,"1977,1986,1991,2006,2007,2008"
Sport,Sport Club do Recife,36,26.6,0,23.25,0.646,Brasileirão 2018,15,1,1987
Vasco,Club de Regatas Vasco da Gama,44,25.7,5,30.1,0.684,Brasileirão 2018,7,4,"1974,1989,1997,2000"
Vitória,Esporte Clube Vitória,46,24.9,4,28.73,0.624,Brasileirão 2018,16,0,
